번호,서명,저자,발행자,발행년,청구기호,자료실
1997,이제 너도 알 때가 됐어,정재원 지음 ; 이혜리 그림,보림,2016,유아 375-4-[꼬]=2,[해운대인문학]송정동 장기대출
1998,이중 하나는 거짓말,이미애 지음 ; 한병호 그림,보림,1998,유아 375.1-345,[해운대인문학]송정동 장기대출
1999,(제25회) 이효석문학상 수상작품집 2024,박지윤 지음,보림,2024,유아 375-4-[요],[해운대인문학]송정동 장기대출
2000,인간들 이야기,김복태 지음,보림,2021,유아 375-4-[친]=2,[해운대인문학]송정동 장기대출
2001,인간은 아직 좌절하지 마,이은경 지음,보림,2024,유아 375-4-[오],[해운대인문학]송정동 장기대출
2002,인버트,홍인순 지음 ; 이혜리 그림,보림,2020,유아 375-4-[왜]=3,[해운대인문학]송정동 장기대출
2003,인생의 의미,이혜리 지음,보림,2022,유아 813.8-1795=2,[해운대인문학]송정동 장기대출
2004,일상이 장르 : 인스타툰 작가들의 일·삶,크리스 호튼 지음 ; 김상미 옮김,보림,2009,유아 375-4-[잃]=3,[해운대인문학]송정동 장기대출
2005,자매일기,정재원 지음 ; 김다예 그림,보림,2021,유아 375-4-[토]=2,[해운대인문학]송정동 장기대출
2006,자신을 속이지 않는 공부,백주희 지음,보림,2019,유아 375-4-[잡]=2,[해운대인문학]송정동 장기대출
2007,조금 망한 사랑,김복태 지음,보림,2021,유아 375-4-[친]=3,[해운대인문학]송정동 장기대출
2008,조금 미친 사람들,변정원 지음,보림,2021,유아 375-4-[한]=2,[해운대인문학]송정동 장기대출
2009,좋아한다는 거짓말,이와이 도시오 지음 ; 김숙 옮김,북뱅크,2022,유아 833.8-89-[미니]=2,[해운대인문학]송정동 장기대출
2010,좋은 사람 되려다 쉬운 사람 되지 마라,이와이 도시오 지음 ; 김숙 옮김,북뱅크,2022,유아 833.8-323-[미니],[해운대인문학]송정동 장기대출
2011,죽을 때까지 나를 다스린다는 것,이와이 도시오 지음 ; 김숙 옮김,북뱅크,2021,유아 833.8-640-[미니],[해운대인문학]송정동 장기대출
2012,죽이고 싶은 아이. 2,이와이 도시오 지음 ; 김숙 옮김,북뱅크,2021,유아 833.8-279-[미니]=2,[해운대인문학]송정동 장기대출
2013,"중편들, 한국 공포문학의 밤 화요일 : 사람의 심해",이와이 도시오 지음 ; 김숙 옮김,북뱅크,2021,유아 833.8-1-[미니],[해운대인문학]송정동 장기대출
2014,즐거운 어른,피오나 와트 지음 ; 알레산드라 새카로풀로 그림 ; 김희진 옮김,어스본코리아,2016,아동참고 375.1-20,[해운대인문학]송정동 장기대출
2015,진짜 하루만에 이해하는 제약·바이오 산업,피오나 와트 지음 ; 알레산드라 새카로풀로 그림 ; 김희진 옮김,어스본코리아,2016,아동참고 375.1-2=2,[해운대인문학]송정동 장기대출
2016,질투라는 감옥,안나 밀버른 지음 ; 알렉산드라 바듀 그림 ; 조남주 옮김,어스본코리아,2021,아동참고 375.1-21=2,[해운대인문학]송정동 장기대출
2017,짧게 말해 줘,로라 코완 지음 ; 차야 브라밧 그림 ; 조남주 옮김,어스본코리아,2023,아동참고 375.1-22,[해운대인문학]송정동 장기대출
2018,채식주의자,"로버트 사부다,매튜 레인하트 지음 ; 맹주열 옮김",비룡소,2009,아동참고 375.1-10=2,[해운대인문학]송정동 장기대출
2019,천국에서 온 택배,막스 뒤코스 지음 ; 박선주 옮김,보림,2020,아동참고 457.279-23=2,[해운대인문학]송정동 장기대출
2020,최초의 아이,"아누크 부아로베르,루이 리고 지음 ; 박다솔 옮김",보림,2024,아동참고 863-5,[해운대인문학]송정동 장기대출
2021,출근하기 싫은 날엔 카프카를 읽는다,블리자드 엔터테인먼트 지음 ; 고경훈 옮김,제우미디어,2018,아동참고 691.15-1,[해운대인문학]송정동 장기대출
2022,충청의 말들 : 그릏게 바쁘믄 어제 오지 그랬슈,"샤를 페로 지음 ; 매튜 레인하트 만듦,서애경 옮김",넥서스주니어,2014,아동참고 863-1=3,[해운대인문학]송정동 장기대출
2023,카스트라토 : 거세당한 자,"안데르센 지음 ; 로버트 사부다 만듦,박선주 옮김",넥서스주니어,2024,아동참고 843-5=2,[해운대인문학]송정동 장기대출
